slug,tool,has_program,network,commission,cookie,notes,application_status
notion,Notion,yes,PartnerStack,50% of payments first 12 months,180d,Highest-converting freemium in productivity,not applied
webflow,Webflow,yes,In-house,50% revenue share up to 12 months,,Official terms confirmed Jul 2026,not applied
scalenut,Scalenut,yes,FirstPromoter,30% recurring LIFETIME (up to 50%),60d,Only true lifetime program found; official page verified,not applied
elevenlabs,ElevenLabs,yes,PartnerStack,22% x 12 months ($5 min payout),90d,Official terms verified; high conversion category,not applied
reclaim-ai,Reclaim AI,yes,In-house,25% x 12 months + $0.25/signup,90d,Officially welcomes directories - easy approval,not applied
n8n,n8n,yes,In-house,30% x 12 months,,Self-serve approval; hot automation niche,not applied
hostinger,Hostinger,yes,In-house,$65-$450 CPA tiered by plan,30d,Highest raw payout; natural upsell for builder traffic,not applied
synthesia,Synthesia,yes,Rewardful,25% x 12 months,60d,Official program page; milestone bonuses,not applied
jasper,Jasper,yes,Impact,25% x 12 months,45d,Official terms at jasper.ai/legal/affiliates,not applied
perplexity,Perplexity,yes,Dub,$10/Pro signup + 10% recurring,,Users get 1 month free - boosts conversion,not applied
grammarly,Grammarly,yes,Impact,$0.20/free signup + ~$20/upgrade,90d,Monetizes free-tier traffic,not applied
framer,Framer,yes,Dub,50% of first payment,60d,Structure conflict (recurring?) - confirm in dashboard,not applied
gamma,Gamma,yes,PartnerStack,30% first year,60d,On PartnerStack official marketplace,not applied
lovable,Lovable,yes,In-house,Up to $100/subscriber,,Official affiliates page,not applied
v0,v0 (Vercel),yes,Dub,Rev share + $10/$30 ambassador tiers,,Vercel legal terms confirm Dub,not applied
granola,Granola,yes,Dub,$20/lead,90d,New users get first month free,not applied
beautiful-ai,Beautiful.ai,yes,PartnerStack,Up to $43/referral (30% Pro/15% Teams),,PartnerStack marketplace listing,not applied
writesonic,Writesonic,yes,Rewardful,30% recurring,30d,GEO pivot means $79/mo entry - higher payout lower conversion,not applied
quillbot,QuillBot,yes,PartnerStack,Tiered 10/15/20% by plan term,30d,Contact affiliate@quillbot.com,not applied
rytr,Rytr,yes,Tapfiliate,30% recurring x 12 months,30d,Easy approval,not applied
sudowrite,Sudowrite,yes,Rewardful,25% recurring x 12 months,30d,Fiction niche; 60-day payout hold,not applied
surfer,Surfer SEO,yes,PartnerStack,Tiered 15-25% recurring,60d,Recommends ~5k monthly visitors,not applied
frase,Frase,yes,FirstPromoter,30% recurring x 12 months (40% at 40 refs),60d,$100 min payout,not applied
murf,Murf,yes,PartnerStack,20% recurring x 24 months,90d,2-3 day approval,not applied
pictory,Pictory,yes,PartnerStack,Tiered 20-50% recurring + 10% sub-affiliate,,Free lifetime Premium for affiliates,not applied
opus-clip,Opus Clip,yes,Rewardful,25% recurring first year,60d,No paid ads allowed,not applied
heygen,HeyGen,yes,Rewardful,20% recurring x 12 months,60d,Network conflict (PartnerStack?) - verify,not applied
leonardo-ai,Leonardo AI,yes,In-house,25% on first 6 payments,60d,Auto-approval,not applied
10web,10Web,yes,Impact,30% x 12 months (10% annual),,Official help center confirms,not applied
durable,Durable,yes,In-house,Up to 30% commission,30d,Agreement updated Jan 2026,not applied
zapier,Zapier,yes,In-house,25% recurring,90d,Program shifting toward agency partners,not applied
otter-ai,Otter.ai,yes,Impact/Skimlinks/CJ,~25% (varies by network),,3 networks - compare terms,not applied
fireflies-ai,Fireflies.ai,yes,In-house,~20% recurring (conflicting),,Verify at signup,not applied
play-ht,Play.ht,yes,In-house,25% recurring,60d,Commission conflict - verify,not applied
descript,Descript,yes,PartnerStack,~$25 CPA flat (changed from 15% recurring),60d,Structure recently changed - verify,not applied
copy-ai,Copy.ai,yes,In-house,45% recurring x 12 months,60d,No official page found - verify signup path,not applied
capcut,CapCut,yes,Impact,35% new/20% existing user CPS,30d,US-based affiliates only; geo-restricted,not applied
squarespace,Squarespace,yes,Impact,~$50-100 per subscription,,Low acceptance rate reported,not applied
slides-ai,SlidesAI,yes,In-house,30% recurring,30d,Third-party source only - medium confidence,not applied
superhuman,Superhuman,invite-only,Dub,Terms not public,,Invite-only - deprioritize,not applied
ideogram,Ideogram,invite-only,In-house,~20% limited duration,60d,Creator-focused; slow approval,not applied
canva,Canva,limited,Impact,One-time on Pro upgrades,,Creator/educator program - directory may not qualify,not applied
adobe-firefly,Adobe Firefly,indirect,Adobe program,85% of first month,30d,Creative Cloud general program only,not applied
wordtune,Wordtune,unclear,AI21 in-house,Terms not public,,Weakest finding,not applied
d-id,D-ID,unusable,In-house,~1 month fee one-time,,Terms PROHIBIT blog/directory links - do not use,not applied
make-com,Make.com,no,,,,Official partners page has no affiliate track,not applied
midjourney,Midjourney,no,,,,No program exists,not applied
runway,Runway,no,,,,No program exists,not applied
suno,Suno,no,,,,"Coming soon" since 2025, nothing launched",not applied
udio,Udio,no,,,,No program found,not applied
github-copilot,GitHub Copilot,no,,,,No program exists,not applied
you-com,You.com,no,,,,No program found,not applied
replit,Replit,no,,,,Bounty/referral-credit only - no cash program,not applied
cursor,Cursor,referral-only,,,,No public cash program,not applied
bolt-new,Bolt.new,referral-only,,,,User discount only - no cash commission,not applied
fathom,Fathom,unclear,In-house,Terms not public,,Weak presence - verify later,not applied
wispr-flow,Dub Partners,"25% per sale, 1 yr",program-listed,applied-via-dub,,2026-07-20
superwhisper,Dub Partners,"20%, 3 mo",program-listed,applied-via-dub,,2026-07-20
voiceos,Dub Partners,"25%, 1 yr",program-listed,applied-via-dub,,2026-07-20
fyxer,Dub Partners,"30%, 6 mo",program-listed,applied-via-dub,,2026-07-20
jace,Dub Partners,"50%, 1 yr",program-listed,applied-via-dub,,2026-07-20
howie,Dub Partners,up to $70 first sale,program-listed,applied-via-dub,,2026-07-20
littlebird,Dub Partners,"up to 30%, 1 yr",program-listed,applied-via-dub,,2026-07-20
stilla,Dub Partners,"15%, 1 yr",program-listed,applied-via-dub,,2026-07-20
demi-ai,Dub Partners,—,program-listed,applied-via-dub,,2026-07-20
anything,Dub Partners,"30% per sale, 1 yr",program-listed,applied-via-dub,,2026-07-20
viktor,Dub Partners,"15%, 1 yr",program-listed,applied-via-dub,,2026-07-20
marblism,Dub Partners,30% lifetime,program-listed,applied-via-dub,,2026-07-20
appy-ai,Dub Partners,"15%, 1 yr",program-listed,applied-via-dub,,2026-07-20
chipp,Dub Partners,"20%, 1 yr",program-listed,applied-via-dub,,2026-07-20
durable,Dub Partners,"30%, 1 yr",program-listed,applied-via-dub,,2026-07-20
magic-patterns,Dub Partners,"10%, 6 mo",program-listed,applied-via-dub,,2026-07-20
flora,Dub Partners,"50% per sale, 1 yr",program-listed,applied-via-dub,,2026-07-20
hedra,Dub Partners,"15%, 1 yr",program-listed,applied-via-dub,,2026-07-20
firecrawl,Dub Partners,15% lifetime,program-listed,applied-via-dub,,2026-07-20
context-dev,Dub Partners,"25%, 3 yrs",program-listed,applied-via-dub,,2026-07-20
zernio,Dub Partners,"20%, 1 yr",program-listed,applied-via-dub,,2026-07-20
peec-ai,Dub Partners,,program-listed,applied-via-dub,,2026-07-20
ranked-ai,Dub Partners,20% lifetime,program-listed,applied-via-dub,,2026-07-20
subscribr,Dub Partners,"30%, 1 yr",program-listed,applied-via-dub,,2026-07-20
typa,Dub Partners,"30%, 6 mo",program-listed,applied-via-dub,,2026-07-20
riverflow,Dub Partners,"30%, 1 yr",program-listed,applied-via-dub,,2026-07-20
intellijend,Dub Partners,"20%, 1 yr",program-listed,applied-via-dub,,2026-07-20
chatbase,Dub Partners,"up to 30%, 1 yr",program-listed,applied-via-dub,,2026-07-20
watermelon,Dub Partners,"25%, 1 yr",program-listed,applied-via-dub,,2026-07-20
weav,Dub Partners,"30%, 2 yrs",program-listed,applied-via-dub,,2026-07-20
heyy,Dub Partners,50% lifetime,program-listed,applied-via-dub,,2026-07-20
comp-ai,Dub Partners,"20%, 1 yr",program-listed,applied-via-dub,,2026-07-20
ai-fiesta,Dub Partners,10% lifetime,program-listed,applied-via-dub,,2026-07-20
magica,Dub Partners,"30%, 1 yr",program-listed,applied-via-dub,,2026-07-20
supercut,Dub Partners,"20%, 1 yr",program-listed,applied-via-dub,,2026-07-20
clico,Dub Partners,"50%, 1 yr",program-listed,applied-via-dub,,2026-07-20
maple,Dub Partners,30% rev share,program-listed,applied-via-dub,,2026-07-20
